Day_Night	Haul	Species2	Species	ICES	Lengthcl	No	sigma
N	556	CLUPEA_HARENGUS	1	51H0	8.25	35.8	6.49E-05
N	556	CLUPEA_HARENGUS	1	51H0	12.25	17.9	1.43E-04
N	556	CLUPEA_HARENGUS	1	51H0	12.75	160.9	1.55E-04
N	556	CLUPEA_HARENGUS	1	51H0	13.25	339.8	1.67E-04
N	556	CLUPEA_HARENGUS	1	51H0	13.75	357.6	1.80E-04
N	556	CLUPEA_HARENGUS	1	51H0	14.25	625.9	1.94E-04
N	556	CLUPEA_HARENGUS	1	51H0	14.75	482.8	2.07E-04
N	556	CLUPEA_HARENGUS	1	51H0	15.25	536.5	2.22E-04
N	556	CLUPEA_HARENGUS	1	51H0	15.75	554.4	2.36E-04
N	556	CLUPEA_HARENGUS	1	51H0	16.25	286.1	2.52E-04
N	556	CLUPEA_HARENGUS	1	51H0	16.75	357.6	2.67E-04
N	556	CLUPEA_HARENGUS	1	51H0	17.25	321.9	2.84E-04
N	556	CLUPEA_HARENGUS	1	51H0	17.75	107.3	3.00E-04
N	556	CLUPEA_HARENGUS	1	51H0	18.25	125.2	3.17E-04
N	556	CLUPEA_HARENGUS	1	51H0	18.75	35.8	3.35E-04
N	556	CLUPEA_HARENGUS	1	51H0	19.25	35.8	3.53E-04
N	556	CLUPEA_HARENGUS	1	51H0	20.25	35.8	3.91E-04
N	556	CLUPEA_HARENGUS	1	51H0	21.25	17.9	4.30E-04
N	556	CLUPEA_HARENGUS	1	51H0	21.75	17.9	4.51E-04
N	556	CLUPEA_HARENGUS	1	51H0	23.25	17.9	5.15E-04
N	556	GASTEROSTEUS_ACULEATUS	2	51H0	3.5	20.6	1.17E-05
N	556	GASTEROSTEUS_ACULEATUS	2	51H0	4.5	103.1	1.93E-05
N	556	GASTEROSTEUS_ACULEATUS	2	51H0	5.5	226.8	2.88E-05
N	556	GASTEROSTEUS_ACULEATUS	2	51H0	6.5	701.1	4.03E-05
N	556	GASTEROSTEUS_ACULEATUS	2	51H0	7.5	61.9	5.36E-05
N	556	LIPARIS_LIPARIS	2	51H0	10.5	2	2.46E-04
N	556	SPRATTUS_SPRATTUS	2	51H0	11.75	23.7	1.32E-04
N	556	SPRATTUS_SPRATTUS	2	51H0	12.25	38.5	1.43E-04
N	556	SPRATTUS_SPRATTUS	2	51H0	12.75	139.2	1.55E-04
N	556	SPRATTUS_SPRATTUS	2	51H0	13.25	177.7	1.67E-04
N	556	SPRATTUS_SPRATTUS	2	51H0	13.75	121.4	1.80E-04
N	556	SPRATTUS_SPRATTUS	2	51H0	14.25	80	1.94E-04
N	556	SPRATTUS_SPRATTUS	2	51H0	14.75	29.6	2.07E-04
N	556	SPRATTUS_SPRATTUS	2	51H0	15.25	14.8	2.22E-04
N	542	CLUPEA_HARENGUS	1	52G9	12.25	20.7	1.43E-04
N	542	CLUPEA_HARENGUS	1	52G9	12.75	103.5	1.55E-04
N	542	CLUPEA_HARENGUS	1	52G9	13.25	227.8	1.67E-04
N	542	CLUPEA_HARENGUS	1	52G9	13.75	207.1	1.80E-04
N	542	CLUPEA_HARENGUS	1	52G9	14.25	227.8	1.94E-04
N	542	CLUPEA_HARENGUS	1	52G9	14.75	165.7	2.07E-04
N	542	CLUPEA_HARENGUS	1	52G9	15.25	248.5	2.22E-04
N	542	CLUPEA_HARENGUS	1	52G9	15.75	497	2.36E-04
N	542	CLUPEA_HARENGUS	1	52G9	16.25	579.8	2.52E-04
N	542	CLUPEA_HARENGUS	1	52G9	16.75	807.6	2.67E-04
N	542	CLUPEA_HARENGUS	1	52G9	17.25	849	2.84E-04
N	542	CLUPEA_HARENGUS	1	52G9	17.75	724.8	3.00E-04
N	542	CLUPEA_HARENGUS	1	52G9	18.25	455.6	3.17E-04
N	542	CLUPEA_HARENGUS	1	52G9	18.75	352	3.35E-04
N	542	CLUPEA_HARENGUS	1	52G9	19.25	289.9	3.53E-04
N	542	CLUPEA_HARENGUS	1	52G9	19.75	186.4	3.72E-04
N	542	CLUPEA_HARENGUS	1	52G9	20.25	124.2	3.91E-04
N	542	CLUPEA_HARENGUS	1	52G9	20.75	62.1	4.10E-04
N	542	CLUPEA_HARENGUS	1	52G9	21.25	20.7	4.30E-04
N	542	CLUPEA_HARENGUS	1	52G9	21.75	62.1	4.51E-04
N	542	CLUPEA_HARENGUS	1	52G9	22.75	20.7	4.93E-04
N	542	CLUPEA_HARENGUS	1	52G9	24.75	20.7	5.84E-04
N	542	GASTEROSTEUS_ACULEATUS	2	52G9	4.5	93.1	1.93E-05
N	542	GASTEROSTEUS_ACULEATUS	2	52G9	5.5	512.1	2.88E-05
N	542	GASTEROSTEUS_ACULEATUS	2	52G9	6.5	1815.8	4.03E-05
N	542	GASTEROSTEUS_ACULEATUS	2	52G9	7.5	139.7	5.36E-05
N	542	SPRATTUS_SPRATTUS	2	52G9	10.75	4.4	1.10E-04
N	542	SPRATTUS_SPRATTUS	2	52G9	11.25	8.7	1.21E-04
N	542	SPRATTUS_SPRATTUS	2	52G9	11.75	17.4	1.32E-04
N	542	SPRATTUS_SPRATTUS	2	52G9	12.25	26.2	1.43E-04
N	542	SPRATTUS_SPRATTUS	2	52G9	12.75	26.2	1.55E-04
N	542	SPRATTUS_SPRATTUS	2	52G9	13.25	87.2	1.67E-04
N	542	SPRATTUS_SPRATTUS	2	52G9	13.75	65.4	1.80E-04
N	542	SPRATTUS_SPRATTUS	2	52G9	14.25	21.8	1.94E-04
N	542	SPRATTUS_SPRATTUS	2	52G9	14.75	8.7	2.07E-04
N	547	CLUPEA_HARENGUS	1	52G9	12.75	174.2	1.55E-04
N	547	CLUPEA_HARENGUS	1	52G9	13.25	725.8	1.67E-04
N	547	CLUPEA_HARENGUS	1	52G9	13.75	1016.2	1.80E-04
N	547	CLUPEA_HARENGUS	1	52G9	14.25	783.9	1.94E-04
N	547	CLUPEA_HARENGUS	1	52G9	14.75	1103.3	2.07E-04
N	547	CLUPEA_HARENGUS	1	52G9	15.25	1190.4	2.22E-04
N	547	CLUPEA_HARENGUS	1	52G9	15.75	842	2.36E-04
N	547	CLUPEA_HARENGUS	1	52G9	16.25	1219.4	2.52E-04
N	547	CLUPEA_HARENGUS	1	52G9	16.75	1393.6	2.67E-04
N	547	CLUPEA_HARENGUS	1	52G9	17.25	1103.3	2.84E-04
N	547	CLUPEA_HARENGUS	1	52G9	17.75	406.5	3.00E-04
N	547	CLUPEA_HARENGUS	1	52G9	18.25	290.3	3.17E-04
N	547	CLUPEA_HARENGUS	1	52G9	18.75	116.1	3.35E-04
N	547	CLUPEA_HARENGUS	1	52G9	19.25	174.2	3.53E-04
N	547	CLUPEA_HARENGUS	1	52G9	19.75	232.3	3.72E-04
N	547	CLUPEA_HARENGUS	1	52G9	20.25	58.1	3.91E-04
N	547	CLUPEA_HARENGUS	1	52G9	20.75	58.1	4.10E-04
N	547	CLUPEA_HARENGUS	1	52G9	21.25	29	4.30E-04
N	547	CLUPEA_HARENGUS	1	52G9	22.75	29	4.93E-04
N	547	CLUPEA_HARENGUS	1	52G9	25.75	29	6.32E-04
N	547	GASTEROSTEUS_ACULEATUS	2	52G9	5.5	609.6	2.88E-05
N	547	GASTEROSTEUS_ACULEATUS	2	52G9	6.5	1406.7	4.03E-05
N	547	GASTEROSTEUS_ACULEATUS	2	52G9	7.5	328.2	5.36E-05
N	547	SPRATTUS_SPRATTUS	2	52G9	11.25	31.7	1.21E-04
N	547	SPRATTUS_SPRATTUS	2	52G9	11.75	23.8	1.32E-04
N	547	SPRATTUS_SPRATTUS	2	52G9	12.25	87.3	1.43E-04
N	547	SPRATTUS_SPRATTUS	2	52G9	12.75	142.8	1.55E-04
N	547	SPRATTUS_SPRATTUS	2	52G9	13.25	198.4	1.67E-04
N	547	SPRATTUS_SPRATTUS	2	52G9	13.75	95.2	1.80E-04
N	547	SPRATTUS_SPRATTUS	2	52G9	14.25	87.3	1.94E-04
N	547	SPRATTUS_SPRATTUS	2	52G9	14.75	79.3	2.07E-04
N	547	SPRATTUS_SPRATTUS	2	52G9	15.25	7.9	2.22E-04
N	534	CLUPEA_HARENGUS	1	53H0	7.25	10.8	5.01E-05
N	534	CLUPEA_HARENGUS	1	53H0	7.75	8.1	5.73E-05
N	534	CLUPEA_HARENGUS	1	53H0	8.25	5.4	6.49E-05
N	534	CLUPEA_HARENGUS	1	53H0	8.75	5.4	7.30E-05
N	534	CLUPEA_HARENGUS	1	53H0	9.75	5.4	9.06E-05
N	534	CLUPEA_HARENGUS	1	53H0	10.25	2.7	1.00E-04
N	534	CLUPEA_HARENGUS	1	53H0	11.25	5.4	1.21E-04
N	534	CLUPEA_HARENGUS	1	53H0	11.75	24.3	1.32E-04
N	534	CLUPEA_HARENGUS	1	53H0	12.25	29.7	1.43E-04
N	534	CLUPEA_HARENGUS	1	53H0	12.75	108	1.55E-04
N	534	CLUPEA_HARENGUS	1	53H0	13.25	137.7	1.67E-04
N	534	CLUPEA_HARENGUS	1	53H0	13.75	99.9	1.80E-04
N	534	CLUPEA_HARENGUS	1	53H0	14.25	51.3	1.94E-04
N	534	CLUPEA_HARENGUS	1	53H0	14.75	37.8	2.07E-04
N	534	CLUPEA_HARENGUS	1	53H0	15.25	54	2.22E-04
N	534	CLUPEA_HARENGUS	1	53H0	15.75	62.1	2.36E-04
N	534	CLUPEA_HARENGUS	1	53H0	16.25	56.7	2.52E-04
N	534	CLUPEA_HARENGUS	1	53H0	16.75	81	2.67E-04
N	534	CLUPEA_HARENGUS	1	53H0	17.25	97.2	2.84E-04
N	534	CLUPEA_HARENGUS	1	53H0	17.75	81	3.00E-04
N	534	CLUPEA_HARENGUS	1	53H0	18.25	64.8	3.17E-04
N	534	CLUPEA_HARENGUS	1	53H0	18.75	48.6	3.35E-04
N	534	CLUPEA_HARENGUS	1	53H0	19.25	40.5	3.53E-04
N	534	CLUPEA_HARENGUS	1	53H0	19.75	32.4	3.72E-04
N	534	CLUPEA_HARENGUS	1	53H0	20.25	29.7	3.91E-04
N	534	CLUPEA_HARENGUS	1	53H0	20.75	27	4.10E-04
N	534	CLUPEA_HARENGUS	1	53H0	21.25	8.1	4.30E-04
N	534	CLUPEA_HARENGUS	1	53H0	21.75	13.5	4.51E-04
N	534	CLUPEA_HARENGUS	1	53H0	22.75	8.1	4.93E-04
N	534	CLUPEA_HARENGUS	1	53H0	23.25	2.7	5.15E-04
N	534	CLUPEA_HARENGUS	1	53H0	28.75	2.7	7.88E-04
N	534	GASTEROSTEUS_ACULEATUS	2	53H0	3.5	71.2	1.17E-05
N	534	GASTEROSTEUS_ACULEATUS	2	53H0	4.5	71.2	1.93E-05
N	534	GASTEROSTEUS_ACULEATUS	2	53H0	5.5	249.2	2.88E-05
N	534	GASTEROSTEUS_ACULEATUS	2	53H0	6.5	1210.4	4.03E-05
N	534	GASTEROSTEUS_ACULEATUS	2	53H0	7.5	106.8	5.36E-05
N	534	SPRATTUS_SPRATTUS	2	53H0	10.25	3.9	1.00E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	10.75	7.7	1.10E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	11.25	11.6	1.21E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	11.75	19.3	1.32E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	12.25	77.1	1.43E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	12.75	131	1.55E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	13.25	134.9	1.67E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	13.75	138.7	1.80E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	14.25	73.2	1.94E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	14.75	11.6	2.07E-04
N	534	SPRATTUS_SPRATTUS	2	53H0	15.25	3.9	2.22E-04
N	524	CLUPEA_HARENGUS	1	54G9	11.75	13.2	1.32E-04
N	524	CLUPEA_HARENGUS	1	54G9	12.25	26.3	1.43E-04
N	524	CLUPEA_HARENGUS	1	54G9	12.75	144.8	1.55E-04
N	524	CLUPEA_HARENGUS	1	54G9	13.25	250.1	1.67E-04
N	524	CLUPEA_HARENGUS	1	54G9	13.75	447.5	1.80E-04
N	524	CLUPEA_HARENGUS	1	54G9	14.25	394.8	1.94E-04
N	524	CLUPEA_HARENGUS	1	54G9	14.75	447.5	2.07E-04
N	524	CLUPEA_HARENGUS	1	54G9	15.25	500.1	2.22E-04
N	524	CLUPEA_HARENGUS	1	54G9	15.75	526.5	2.36E-04
N	524	CLUPEA_HARENGUS	1	54G9	16.25	394.8	2.52E-04
N	524	CLUPEA_HARENGUS	1	54G9	16.75	592.3	2.67E-04
N	524	CLUPEA_HARENGUS	1	54G9	17.25	513.3	2.84E-04
N	524	CLUPEA_HARENGUS	1	54G9	17.75	210.6	3.00E-04
N	524	CLUPEA_HARENGUS	1	54G9	18.25	210.6	3.17E-04
N	524	CLUPEA_HARENGUS	1	54G9	18.75	171.1	3.35E-04
N	524	CLUPEA_HARENGUS	1	54G9	19.25	131.6	3.53E-04
N	524	CLUPEA_HARENGUS	1	54G9	19.75	65.8	3.72E-04
N	524	CLUPEA_HARENGUS	1	54G9	20.25	79	3.91E-04
N	524	CLUPEA_HARENGUS	1	54G9	20.75	65.8	4.10E-04
N	524	CLUPEA_HARENGUS	1	54G9	21.25	26.3	4.30E-04
N	524	CLUPEA_HARENGUS	1	54G9	21.75	65.8	4.51E-04
N	524	CLUPEA_HARENGUS	1	54G9	22.25	26.3	4.72E-04
N	524	CLUPEA_HARENGUS	1	54G9	23.25	13.2	5.15E-04
N	524	GASTEROSTEUS_ACULEATUS	2	54G9	5.5	134.7	2.88E-05
N	524	GASTEROSTEUS_ACULEATUS	2	54G9	6.5	352.4	4.03E-05
N	524	GASTEROSTEUS_ACULEATUS	2	54G9	7.5	62.2	5.36E-05
N	524	LIPARIS_LIPARIS	2	54G9	10.5	3	2.46E-04
N	524	LIPARIS_LIPARIS	2	54G9	12.5	1	3.49E-04
N	524	LIPARIS_LIPARIS	2	54G9	13.5	1	4.07E-04
