Haul	Species2	Species	ICES	Lengthcl	No.	sigma
534	Clupea_harengus	1	55H0	16.75	171.5	2.67E-04
534	Clupea_harengus	1	55H0	17.25	177.4	2.84E-04
534	Clupea_harengus	1	55H0	17.75	106.4	3.00E-04
534	Clupea_harengus	1	55H0	18.25	112.3	3.17E-04
534	Clupea_harengus	1	55H0	18.75	88.7	3.35E-04
534	Clupea_harengus	1	55H0	19.25	76.9	3.53E-04
534	Clupea_harengus	1	55H0	19.75	53.2	3.72E-04
534	Clupea_harengus	1	55H0	20.25	35.5	3.91E-04
534	Clupea_harengus	1	55H0	20.75	29.6	4.10E-04
534	Clupea_harengus	1	55H0	21.25	11.8	4.30E-04
534	Clupea_harengus	1	55H0	22.25	11.8	4.72E-04
534	Clupea_harengus	1	55H0	22.75	11.8	4.93E-04
534	Clupea_harengus	1	55H0	23.75	5.9	5.38E-04
534	Gasterosteus_aculeatus	2	55H0	2.5	37.8	5.96E-06
534	Gasterosteus_aculeatus	2	55H0	3.5	75.7	1.17E-05
534	Gasterosteus_aculeatus	2	55H0	5.5	340.5	2.88E-05
534	Gasterosteus_aculeatus	2	55H0	6.5	1134.8	4.03E-05
534	Gasterosteus_aculeatus	2	55H0	7.5	378.3	5.36E-05
534	Osmerus_eperlanus	2	55H0	15.5	1.1	2.29E-04
534	Pungitius_pungitius	2	55H0	4.5	1.4	1.93E-05
534	Pungitius_pungitius	2	55H0	5.5	2.8	2.88E-05
534	Pungitius_pungitius	2	55H0	6.5	1.4	4.03E-05
534	Sprattus_sprattus	2	55H0	11.25	5.2	1.21E-04
534	Sprattus_sprattus	2	55H0	11.75	26	1.32E-04
534	Sprattus_sprattus	2	55H0	12.25	96.2	1.43E-04
534	Sprattus_sprattus	2	55H0	12.75	130	1.55E-04
534	Sprattus_sprattus	2	55H0	13.25	109.2	1.67E-04
534	Sprattus_sprattus	2	55H0	13.75	67.6	1.80E-04
534	Sprattus_sprattus	2	55H0	14.25	33.8	1.94E-04
534	Sprattus_sprattus	2	55H0	14.75	26	2.07E-04
534	Sprattus_sprattus	2	55H0	15.25	5.2	2.22E-04
